label,sublabel,description,styles,bgcolor
燃やせないごみ,,,img/moyasanai02.svg,#685ecf
資源物・危険ごみ,,,img/shigen02.svg,#27a047
燃やせるごみ,,,img/moyasu02.svg,#ea3b13
